City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,utrik,11.2278,169.8474,27.75,80,32,6.82,MH,1697580748
83,puerto carreno,6.189,-67.4859,30.8,63,85,0.86,CO,1697580561
84,wainwright,52.839,-110.8572,9.33,74,100,6.92,CA,1697580749
85,saint-valery-en-caux,49.8667,0.7333,12.09,66,100,7.73,FR,1697580749
86,badger,64.8,-147.5333,2.98,79,100,3.6,US,1697580530
87,chonchi,-42.6128,-73.8092,15.07,64,65,1.56,CL,1697580750
88,college,64.8569,-147.8028,2.26,79,75,3.6,US,1697580751
89,santa maria ajoloapan,19.9786,-99.0472,19.38,32,58,4.95,MX,1697580752
90,stanley,54.868,-1.6985,9.32,92,20,2.57,GB,1697580752
91,lapeer,43.0514,-83.3188,10.37,71,100,0.0,US,1697580655
92,vanimo,-2.6741,141.3028,26.44,87,86,1.88,PG,1697580753
93,miri,4.4148,114.0089,25.26,90,77,2.07,MY,1697580753
94,flin flon,54.7682,-101.865,14.91,63,75,1.54,CA,1697580754
95,hasaki,35.7333,140.8333,13.22,61,99,3.59,JP,1697580581
96,saipan,15.1355,145.701,28.39,89,40,4.12,MP,1697580483
97,stornoway,58.2093,-6.3865,8.98,83,100,4.12,GB,1697580755
98,trairi,-3.2778,-39.2689,26.02,72,100,5.49,BR,1697580756
99,ilulissat,69.2167,-51.1,-21.33,78,0,2.65,GL,1697580757
100,dunay,42.8803,132.3375,9.32,85,86,4.42,RU,1697580757
101,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,88,75,2.24,RU,1697580758
102,piti village,13.4626,144.6933,27.95,92,0,4.12,GU,1697580758
103,oruro,-17.9833,-67.15,14.97,37,26,10.15,BO,1697580759
104,khuzdar,27.7384,66.6434,17.33,53,0,0.62,PK,1697580760
105,sechura,-5.5569,-80.8222,25.4,60,31,8.49,PE,1697580760
106,bodo,67.28,14.405,1.54,93,20,1.54,NO,1697580761
